Date,Open,High,Low,Close,Adj Close,Volume
7/1/2021,35.505653,35.538193,32.386272,33.404034,33.404034,474665321
7/2/2021,33.306309,34.031788,31.479923,34.020481,34.020481,440298780
7/3/2021,34.015575,35.40477,33.298473,34.478817,34.478817,327019964
7/4/2021,34.495117,35.502373,33.555737,34.3106,34.3106,303420520
7/5/2021,34.282551,34.461823,32.482693,32.984589,32.984589,313839322
7/6/2021,32.930305,34.978317,32.930305,34.269138,34.269138,365336040
7/7/2021,34.232807,38.011703,33.84203,36.59137,36.59137,519252659
7/8/2021,36.719719,36.915283,32.802273,33.203728,33.203728,498201257
7/9/2021,33.134331,34.387947,31.991049,33.264648,33.264648,327170629
7/10/2021,33.318439,34.140488,31.186785,31.788645,31.788645,296566657
7/11/2021,31.693039,32.536335,31.411757,32.177841,32.177841,211679810
7/12/2021,32.173389,32.644054,30.074202,30.848087,30.848087,221058993
7/13/2021,30.786404,31.093704,28.918608,29.121189,29.121189,197825362
7/14/2021,29.142693,31.435339,27.515703,31.281,31.281,331866434
7/15/2021,31.360701,31.483404,28.008404,28.452101,28.452101,329918376
7/16/2021,28.549067,29.442204,26.228809,26.370008,26.370008,374718328
7/17/2021,26.254124,27.696987,26.04067,26.721668,26.721668,289689475
7/18/2021,26.78417,27.733564,26.360977,26.751909,26.751909,230336396
7/19/2021,26.67124,26.721746,24.012245,24.447577,24.447577,361915410
7/20/2021,24.510302,24.975603,22.177542,23.489555,23.489555,413439963
7/21/2021,23.443457,27.416498,22.86537,26.623079,26.623079,555770206
7/22/2021,26.665323,28.13599,25.952209,27.702082,27.702082,364666998
7/23/2021,27.706509,28.690611,26.425711,28.51388,28.51388,407955237
7/24/2021,28.5179,29.507799,28.068638,28.70262,28.70262,353750758
7/25/2021,28.649401,28.872978,26.528553,28.168774,28.168774,309208018
7/26/2021,28.227026,31.054016,27.903797,28.306643,28.306643,743673802
7/27/2021,28.210499,28.952671,27.00543,28.065327,28.065327,375599550
7/28/2021,28.145641,28.746954,27.412333,27.815411,27.815411,315682626
7/29/2021,27.877975,31.886148,27.372438,31.281137,31.281137,448009571
7/30/2021,31.275415,33.055126,30.067673,32.393944,32.393944,617830199
7/31/2021,32.353287,36.868259,31.68322,36.827312,36.827312,587168181
8/1/2021,36.679127,36.719913,33.283005,34.25436,34.25436,490639931
8/2/2021,34.190563,35.912395,33.060654,33.22242,33.22242,407399691
8/3/2021,33.191425,35.833092,32.40266,33.996441,33.996441,474629269
8/4/2021,34.108356,36.652477,33.273182,35.763626,35.763626,413657602
8/5/2021,35.771976,38.208866,35.533855,37.355137,37.355137,595137193
8/6/2021,37.355358,40.388084,35.688293,39.446102,39.446102,589190671
8/7/2021,39.492302,40.505878,37.626602,39.403473,39.403473,534979916
8/8/2021,39.465904,39.533291,36.935577,37.673824,37.673824,358570315
