Date,Cash,Position,Portfolio Value
2013-07-10 00:00:00.000000,10000.0,0.0,10000.0
2020-04-10 00:00:00.000000,10000.0,0.0,10000.0
2020-04-11 00:00:00.000000,10000.0,0.0,10000.0
2020-04-12 00:00:00.000000,10000.0,0.0,10000.0
2020-04-13 00:00:00.000000,10000.0,0.0,10000.0
2020-04-14 00:00:00.000000,10000.0,0.0,10000.0
2020-04-15 00:00:00.000000,10000.0,0.0,10000.0
2020-04-16 00:00:00.000000,10000.0,0.0,10000.0
2020-04-17 00:00:00.000000,10000.0,0.0,10000.0
2020-04-18 00:00:00.000000,10000.0,0.0,10000.0
2020-04-19 00:00:00.000000,10000.0,0.0,10000.0
2020-04-20 00:00:00.000000,10000.0,0.0,10000.0
2020-04-21 00:00:00.000000,10000.0,0.0,10000.0
2020-04-22 00:00:00.000000,10000.0,0.0,10000.0
2020-04-23 00:00:00.000000,10000.0,0.0,10000.0
2020-04-24 00:00:00.000000,10000.0,0.0,10000.0
2020-04-25 00:00:00.000000,10000.0,0.0,10000.0
2020-04-26 00:00:00.000000,10000.0,0.0,10000.0
2020-04-27 00:00:00.000000,10000.0,0.0,10000.0
2020-04-28 00:00:00.000000,10000.0,0.0,10000.0
2020-04-29 00:00:00.000000,10000.0,0.0,10000.0
2020-04-30 00:00:00.000000,10000.0,0.0,10000.0
2020-05-01 00:00:00.000000,10000.0,0.0,10000.0
2020-05-02 00:00:00.000000,10000.0,0.0,10000.0
2020-05-03 00:00:00.000000,10000.0,0.0,10000.0
2020-05-04 00:00:00.000000,10000.0,0.0,10000.0
2020-05-05 00:00:00.000000,10000.0,0.0,10000.0
2020-05-06 00:00:00.000000,10000.0,0.0,10000.0
2020-05-07 00:00:00.000000,10000.0,0.0,10000.0
2020-05-08 00:00:00.000000,10000.0,0.0,10000.0
2020-05-09 00:00:00.000000,10000.0,0.0,10000.0
2020-05-10 00:00:00.000000,10000.0,0.0,10000.0
2020-05-11 00:00:00.000000,10000.0,0.0,10000.0
2020-05-12 00:00:00.000000,10000.0,0.0,10000.0
2020-05-13 00:00:00.000000,10000.0,0.0,10000.0
2020-05-14 00:00:00.000000,10000.0,0.0,10000.0
2020-05-15 00:00:00.000000,10000.0,0.0,10000.0
2020-05-16 00:00:00.000000,10000.0,0.0,10000.0
2020-05-17 00:00:00.000000,10000.0,0.0,10000.0
2020-05-18 00:00:00.000000,10000.0,0.0,10000.0
2020-05-19 00:00:00.000000,0.0,15905.837442341339,10000.0
2020-05-20 00:00:00.000000,0.0,15905.837442341339,9268.331477652298
2020-05-21 00:00:00.000000,0.0,15905.837442341339,9654.843327501192
2020-05-22 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-23 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-24 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-25 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-26 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-27 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-28 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-29 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-30 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-05-31 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-01 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-02 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-03 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-04 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-05 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-06 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-07 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-08 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-09 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-10 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-11 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-12 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-13 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-14 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-15 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-16 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-17 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-18 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-19 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-20 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-21 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-22 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-23 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-24 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-25 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-26 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-27 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-28 00:00:00.000000,10122.474948306028,0.0,10122.474948306028
2020-06-29 00:00:00.000000,0.0,11850.2399301171,10122.474948306028
2020-06-30 00:00:00.000000,0.0,11850.2399301171,10193.57638788673
2020-07-01 00:00:00.000000,0.0,11850.2399301171,9865.324741822487
2020-07-02 00:00:00.000000,0.0,11850.2399301171,9211.191497680022
2020-07-03 00:00:00.000000,0.0,11850.2399301171,9114.019530253063
2020-07-04 00:00:00.000000,0.0,11850.2399301171,9263.332553372536
2020-07-05 00:00:00.000000,0.0,11850.2399301171,8216.956367543198
2020-07-06 00:00:00.000000,0.0,11850.2399301171,8419.5954703482
