,date,open,high,low,close,volume,adj_close
1970-01-01 00:00:00.000000000,2018-07-10,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000001,2018-07-11,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000002,2018-07-12,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000003,2018-07-13,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000004,2018-07-14,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000005,2018-07-15,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000006,2018-07-16,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000007,2018-07-17,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000008,2018-07-18,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000009,2018-07-19,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000010,2018-07-20,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000011,2018-07-21,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000012,2018-07-22,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000013,2018-07-23,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000014,2018-07-24,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000015,2018-07-25,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000016,2018-07-26,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000017,2018-07-27,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000018,2018-07-28,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000019,2018-07-29,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000020,2018-07-30,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000021,2018-07-31,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000022,2018-08-01,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000023,2018-08-02,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000024,2018-08-03,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000025,2018-08-04,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000026,2018-08-05,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000027,2018-08-06,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000028,2018-08-07,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000029,2018-08-08,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000030,2018-08-09,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000031,2018-08-10,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000032,2018-08-11,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000033,2018-08-12,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000034,2018-08-13,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000035,2018-08-14,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000036,2018-08-15,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000037,2018-08-16,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000038,2018-08-17,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000039,2018-08-18,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000040,2018-08-19,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000041,2018-08-20,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000042,2018-08-21,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000043,2018-08-22,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000044,2018-08-23,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000045,2018-08-24,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000046,2018-08-25,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000047,2018-08-26,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000048,2018-08-27,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000049,2018-08-28,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000050,2018-08-29,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000051,2018-08-30,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000052,2018-08-31,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000053,2018-09-01,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000054,2018-09-02,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000055,2018-09-03,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000056,2018-09-04,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000057,2018-09-05,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000058,2018-09-06,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000059,2018-09-07,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000060,2018-09-08,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000061,2018-09-09,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000062,2018-09-10,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000063,2018-09-11,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000064,2018-09-12,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000065,2018-09-13,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000066,2018-09-14,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000067,2018-09-15,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000068,2018-09-16,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000069,2018-09-17,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000070,2018-09-18,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000071,2018-09-19,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000072,2018-09-20,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000073,2018-09-21,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000074,2018-09-22,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000075,2018-09-23,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000076,2018-09-24,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000077,2018-09-25,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000078,2018-09-26,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000079,2018-09-27,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000080,2018-09-28,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000081,2018-09-29,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000082,2018-09-30,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000083,2018-10-01,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000084,2018-10-02,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000085,2018-10-03,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000086,2018-10-04,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000087,2018-10-05,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000088,2018-10-06,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000089,2018-10-07,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000090,2018-10-08,0.0,0.0,0.0,0.0,0.0,
1970-01-01 00:00:00.000000091,2018-10-09,0.0,0.0,0.0,0.0,0.0,
